Time, y, x, Angle, D, BelowCut, Away
11, 128, 127, -90.000000, 0.008760,  0, 0 
11, 129, 127, -90.000000, 0.013908,  0, 0 
11, 130, 127, -90.000000, 0.019981,  0, 0 
11, 131, 127, -90.000000, 0.022709,  0, 0 
11, 132, 127, -90.000000, 0.023875,  0, 0 
11, 133, 127, -90.000000, 0.031981,  0, 0 
11, 134, 127, -90.000000, 0.040678,  0, 0 
11, 135, 127, -90.000000, 0.042685,  0, 0 
11, 136, 127, -90.000000, 0.042242,  0, 0 
11, 137, 127, -90.000000, 0.033462,  0, 0 
11, 138, 127, -90.000000, 0.012176,  0, 0 
11, 139, 127, 90.000000, 0.006574,  0, 1 
11, 140, 127, 90.000000, 0.011086,  0, 1 
11, 141, 127, 90.000000, 0.008255,  0, 1 
11, 142, 127, 90.000000, 0.003312,  0, 1 
11, 143, 127, -90.000000, 0.002043,  0, 0 
11, 144, 127, -90.000000, 0.006662,  0, 0 
11, 145, 127, -90.000000, 0.008229,  0, 0 
11, 146, 127, -90.000000, 0.008134,  0, 0 
11, 147, 127, -90.000000, 0.009010,  0, 0 
11, 148, 127, -90.000000, 0.012689,  0, 0 
11, 149, 127, -90.000000, 0.017429,  0, 0 
11, 150, 127, -90.000000, 0.020629,  0, 0 
11, 151, 127, -90.000000, 0.025398,  0, 0 
11, 152, 127, -90.000000, 0.028747,  0, 0 
11, 153, 127, -90.000000, 0.025776,  0, 0 
11, 154, 127, -90.000000, 0.019830,  0, 0 
11, 155, 127, -90.000000, 0.014134,  0, 0 
11, 156, 127, -90.000000, 0.008086,  0, 0 
11, 157, 127, 90.000000, 0.000113,  0, 1 
11, 158, 127, 90.000000, 0.011023,  0, 1 
11, 159, 127, 90.000000, 0.030860,  0, 1 
11, 160, 127, 90.000000, 0.059265,  0, 1 
11, 161, 127, 90.000000, 0.083217,  0, 1 
11, 162, 127, 90.000000, 0.088196,  0, 1 
11, 163, 127, 90.000000, 0.084457,  0, 1 
11, 164, 127, 90.000000, 0.079905,  0, 1 
11, 165, 127, 90.000000, 0.070332,  0, 1 
11, 166, 127, 90.000000, 0.059064,  0, 1 
11, 167, 127, 90.000000, 0.051565,  0, 1 
11, 168, 127, 90.000000, 0.046168,  0, 1 
11, 169, 127, 90.000000, 0.038765,  0, 1 
11, 170, 127, 90.000000, 0.026885,  0, 1 
11, 171, 127, 90.000000, 0.011849,  0, 1 
11, 172, 127, -90.000000, 0.005724,  0, 0 
11, 123, 128, 90.000000, 0.012878,  0, 1 
11, 124, 128, 90.000000, 0.008182,  0, 1 
11, 125, 128, -90.000000, 0.002140,  0, 0 
11, 126, 128, -90.000000, 0.008036,  0, 0 
11, 127, 128, -90.000000, 0.009374,  0, 0 
11, 128, 128, -90.000000, 0.010916,  0, 0 
11, 129, 128, -90.000000, 0.015786,  0, 0 
11, 130, 128, -90.000000, 0.022046,  0, 0 
11, 131, 128, -90.000000, 0.025173,  0, 0 
11, 132, 128, -90.000000, 0.025920,  0, 0 
11, 133, 128, -90.000000, 0.034720,  0, 0 
11, 134, 128, -90.000000, 0.044590,  0, 0 
11, 135, 128, -90.000000, 0.045497,  0, 0 
11, 136, 128, -90.000000, 0.042257,  0, 0 
11, 137, 128, -90.000000, 0.030574,  0, 0 
11, 138, 128, -90.000000, 0.007769,  0, 0 
11, 139, 128, 90.000000, 0.011866,  0, 1 
11, 140, 128, 90.000000, 0.015005,  0, 1 
11, 141, 128, 90.000000, 0.009880,  0, 1 
11, 142, 128, 90.000000, 0.004494,  0, 1 
11, 143, 128, -90.000000, 0.000750,  0, 0 
11, 144, 128, -90.000000, 0.005374,  0, 0 
11, 145, 128, -90.000000, 0.006613,  0, 0 
11, 146, 128, -90.000000, 0.005598,  0, 0 
11, 147, 128, -90.000000, 0.006459,  0, 0 
11, 148, 128, -90.000000, 0.009503,  0, 0 
11, 149, 128, -90.000000, 0.013621,  0, 0 
11, 150, 128, -90.000000, 0.017190,  0, 0 
11, 151, 128, -90.000000, 0.022166,  0, 0 
11, 152, 128, -90.000000, 0.024253,  0, 0 
11, 153, 128, -90.000000, 0.020737,  0, 0 
11, 154, 128, -90.000000, 0.015159,  0, 0 
11, 155, 128, -90.000000, 0.009631,  0, 0 
11, 156, 128, -90.000000, 0.003586,  0, 0 
11, 157, 128, 90.000000, 0.004323,  0, 1 
11, 158, 128, 90.000000, 0.015137,  0, 1 
11, 159, 128, 90.000000, 0.035016,  0, 1 
11, 160, 128, 90.000000, 0.062233,  0, 1 
11, 161, 128, 90.000000, 0.084868,  0, 1 
11, 162, 128, 90.000000, 0.090513,  0, 1 
11, 163, 128, 90.000000, 0.087861,  0, 1 
11, 164, 128, 90.000000, 0.083104,  0, 1 
11, 165, 128, 90.000000, 0.072760,  0, 1 
11, 166, 128, 90.000000, 0.060561,  0, 1 
11, 167, 128, 90.000000, 0.052207,  0, 1 
11, 168, 128, 90.000000, 0.046350,  0, 1 
11, 169, 128, 90.000000, 0.038981,  0, 1 
11, 170, 128, 90.000000, 0.027019,  0, 1 
11, 171, 128, 90.000000, 0.011236,  0, 1 
11, 172, 128, -90.000000, 0.006941,  0, 0 
11, 173, 128, -90.000000, 0.029817,  0, 0 
11, 123, 129, 90.000000, 0.009159,  0, 1 
11, 124, 129, 90.000000, 0.004259,  0, 1 
11, 125, 129, -90.000000, 0.006954,  0, 0 
11, 126, 129, -90.000000, 0.012648,  0, 0 
11, 127, 129, -90.000000, 0.013747,  0, 0 
11, 128, 129, -90.000000, 0.016274,  0, 0 
11, 129, 129, -90.000000, 0.020275,  0, 0 
11, 141, 129, 90.000000, 0.011629,  0, 1 
11, 142, 129, 90.000000, 0.005784,  0, 1 
11, 143, 129, 90.000000, 0.000220,  0, 1 
11, 144, 129, -90.000000, 0.004492,  0, 0 
11, 145, 129, -90.000000, 0.005814,  0, 0 
11, 146, 129, -90.000000, 0.004802,  0, 0 
11, 147, 129, -90.000000, 0.005657,  0, 0 
11, 148, 129, -90.000000, 0.007629,  0, 0 
11, 149, 129, -90.000000, 0.011553,  0, 0 
11, 150, 129, -90.000000, 0.015960,  0, 0 
